"Area","meanRobbery","meanBurglary"
"ALABAMA",139.314285714286,947.071428571429
"ALASKA",80.0142857142857,601.071428571429
"ARIZONA",148.885714285714,994.8
"ARKANSAS",89.5428571428571,964.742857142857
"CALIFORNIA",184.785714285714,672.6
"COLORADO",78.4,672.742857142857
"CONNECTICUT",115.414285714286,463.457142857143
"DELAWARE",170.185714285714,693.171428571429
"DISTRICTOFCOLUMBIA",670.5,860.125
"FLORIDA",192.414285714286,1012.27142857143
"GEORGIA",164.928571428571,893.728571428571
"HAWAII",89.9428571428572,839.314285714286
"IDAHO",18.0142857142857,543.242857142857
"ILLINOIS",191.728571428571,621.471428571429
"INDIANA",111.242857142857,700.928571428571
"IOWA",40.0428571428571,592.057142857143
"KANSAS",76.3,747.285714285714
"KENTUCKY",83.4571428571429,651.685714285714
"LOUISIANA",150.571428571429,1006.35714285714
"MAINE",23.2714285714286,515.385714285714
"MARYLAND",249.085714285714,702.285714285714
"MASSACHUSETTS",111.614285714286,526.828571428571
"MICHIGAN",128.971428571429,715.157142857143
"MINNESOTA",85.0857142857143,554.742857142857
"MISSISSIPPI",102.8,981.328571428571
"MISSOURI",126.028571428571,745.728571428571
"MONTANA",24.6857142857143,375.185714285714
"NEBRASKA",66.2142857142857,559.257142857143
"NEVADA",239.114285714286,929.4
"NEWHAMPSHIRE",33.4142857142857,364.642857142857
"NEWJERSEY",156.171428571429,488.328571428571
"NEWMEXICO",118.828571428571,1064.75714285714
"NEWYORK",186.557142857143,389.228571428571
"NORTHCAROLINA",151.2,1209.87142857143
"NORTHDAKOTA",9.27142857142857,336.214285714286
"OHIO",154.571428571429,853.257142857143
"OKLAHOMA",86.2285714285714,975.071428571429
"OREGON",76.9714285714286,723.257142857143
"PENNSYLVANIA",150.628571428571,447.842857142857
"PUERTORICO",217.6,562.725
"RHODEISLAND",79.3857142857143,555.042857142857
"SOUTHCAROLINA",138.171428571429,1001.18571428571
"SOUTHDAKOTA",15.4142857142857,361.185714285714
"TENNESSEE",171.114285714286,1034.18571428571
"TEXAS",161.157142857143,952.628571428571
"UTAH",51.1,626.714285714286
"VERMONT",14.4428571428571,521.885714285714
"VIRGINIA",95.6857142857143,416.728571428571
"WASHINGTON",96.0428571428571,904.942857142857
"WESTVIRGINIA",42.2714285714286,575.871428571429
"WISCONSIN",87.6714285714286,484.314285714286
"WYOMING",16,472.9
