STATE,type,n
CA,Business,4
CT,Business,1
DE,Business,2
DE,Junior,2
FL,Business,2
MI,Business,8
NJ,Business,5
NY,Business,4
OH,Business,1
OH,Computer,1
OH,EduServ,1
OK,Business,2
PA,Business,1
PA,Computer,1
PA,EduServ,1
PA,Flight,1
TN,Business,1
TN,EduServ,1
TX,Business,1
TX,Computer,1
AK,General,6
AL,General,35
AR,General,26
AR,Junior,26
AZ,General,31
CA,General,242
CO,General,41
CT,General,26
DC,General,18
DE,General,6
FL,General,102
GA,General,66
HI,General,10
IA,General,43
ID,General,12
IL,General,103
IN,General,62
KS,General,35
KY,General,35
LA,General,32
MA,General,87
MD,General,36
ME,General,20
MI,General,59
MN,General,52
MO,General,70
MS,General,18
MT,General,15
NC,General,71
ND,General,11
NE,General,26
NH,General,17
NJ,General,57
NM,General,17
NV,General,13
NY,General,228
OH,General,91
OK,General,31
OR,General,32
PA,General,153
RI,General,13
SC,General,39
SD,General,19
TN,General,59
TX,General,130
UT,General,21
VA,General,72
VT,General,19
WA,General,34
WI,General,56
WV,General,25
WY,General,1
WY,Cosme_Barber,1
AZ,Computer,1
CA,Computer,2
CA,Arts,2
FL,Computer,4
FL,Flight,4
MI,Computer,1
MI,Arts,1
MI,Flight,1
MO,Computer,2
NC,Computer,1
NC,EduServ,1
NC,Arts,1
NY,Computer,5
NY,Arts,5
OR,Computer,1
UT,Computer,1
AL,Cosme_Barber,10
AR,Cosme_Barber,23
AZ,Cosme_Barber,26
CA,Cosme_Barber,110
CO,Cosme_Barber,20
CT,Cosme_Barber,9
DC,Cosme_Barber,1
DC,Arts,1
DE,Cosme_Barber,4
DE,Other,4
FL,Cosme_Barber,74
GA,Cosme_Barber,23
HI,Cosme_Barber,2
HI,Other,2
IA,Cosme_Barber,21
ID,Cosme_Barber,18
IL,Cosme_Barber,63
IN,Cosme_Barber,28
KS,Cosme_Barber,12
KY,Cosme_Barber,22
LA,Cosme_Barber,35
MA,Cosme_Barber,20
MD,Cosme_Barber,17
ME,Cosme_Barber,3
ME,Other,3
MI,Cosme_Barber,38
MN,Cosme_Barber,12
MO,Cosme_Barber,29
MS,Cosme_Barber,16
MT,Cosme_Barber,6
NC,Cosme_Barber,24
ND,Cosme_Barber,6
NE,Cosme_Barber,7
NH,Cosme_Barber,10
NJ,Cosme_Barber,29
NM,Cosme_Barber,7
NV,Cosme_Barber,9
NV,Junior,9
NV,Other,9
NY,Cosme_Barber,42
OH,Cosme_Barber,41
OK,Cosme_Barber,23
OR,Cosme_Barber,16
PA,Cosme_Barber,48
RI,Cosme_Barber,4
SC,Cosme_Barber,24
SD,Cosme_Barber,3
SD,Other,3
TN,Cosme_Barber,31
TX,Cosme_Barber,111
UT,Cosme_Barber,26
VA,Cosme_Barber,21
VT,Cosme_Barber,1
VT,EduServ,1
VT,Other,1
WA,Cosme_Barber,19
WI,Cosme_Barber,20
WV,Cosme_Barber,5
AK,EduServ,1
AK,Junior,1
AL,EduServ,1
AR,EduServ,2
AZ,EduServ,2
CA,EduServ,23
CO,EduServ,2
CO,Arts,2
DE,EduServ,1
HI,EduServ,1
IL,EduServ,6
KY,EduServ,1
KY,Arts,1
LA,EduServ,2
MA,EduServ,1
MA,Arts,1
MA,Flight,1
MD,EduServ,2
ME,EduServ,1
ME,Arts,1
MO,EduServ,1
MO,Arts,1
MO,Flight,1
MS,EduServ,2
NE,EduServ,1
NH,EduServ,1
NH,Arts,1
NV,EduServ,1
NY,EduServ,2
OK,EduServ,1
TX,EduServ,7
WI,EduServ,1
AZ,Arts,3
GA,Arts,1
GA,Flight,1
ID,Arts,1
MD,Arts,1
NJ,Arts,1
OH,Arts,3
OR,Arts,2
PA,Arts,2
TX,Arts,2
TX,Flight,2
IN,Flight,1
NY,Flight,1
AL,Junior,30
AZ,Junior,40
CA,Junior,179
CO,Junior,30
CT,Junior,17
FL,Junior,75
GA,Junior,44
HI,Junior,8
IA,Junior,18
ID,Junior,5
IL,Junior,62
IN,Junior,9
KS,Junior,28
KY,Junior,23
LA,Junior,30
MA,Junior,25
MD,Junior,21
ME,Junior,11
MI,Junior,34
MN,Junior,37
MO,Junior,31
MS,Junior,19
MT,Junior,9
NC,Junior,67
ND,Junior,9
NE,Junior,13
NH,Junior,8
NJ,Junior,27
NM,Junior,22
NY,Junior,74
OH,Junior,83
OK,Junior,21
OR,Junior,23
PA,Junior,67
RI,Junior,1
SC,Junior,27
SD,Junior,4
TN,Junior,29
TX,Junior,106
UT,Junior,13
VA,Junior,43
VT,Junior,3
WA,Junior,39
WI,Junior,19
WV,Junior,18
WY,Junior,8
AK,Other,2
AL,Other,7
AR,Other,11
AZ,Other,13
CA,Other,137
CO,Other,11
CT,Other,22
DC,Other,3
FL,Other,85
GA,Other,14
IA,Other,3
ID,Other,2
IL,Other,24
IN,Other,12
KS,Other,3
KY,Other,9
LA,Other,21
MA,Other,26
MD,Other,8
MI,Other,29
MN,Other,3
MO,Other,27
MS,Other,3
MT,Other,2
NC,Other,8
ND,Other,2
NH,Other,2
NJ,Other,46
NM,Other,2
NY,Other,87
OH,Other,76
OK,Other,30
OR,Other,6
PA,Other,70
RI,Other,5
SC,Other,7
TN,Other,36
TX,Other,61
UT,Other,8
VA,Other,14
WA,Other,9
WI,Other,4
WV,Other,26
