"Area","Robbery","Burglary","year"
"ALABAMA","128.2",906.9,"2000"
"ALASKA","78.2",621.9,"2000"
"ARIZONA","146.3",1011.6,"2000"
"ARKANSAS","74.8",802.1,"2000"
"CALIFORNIA","177.9",656.3,"2000"
"COLORADO","70.5",630.8,"2000"
"CONNECTICUT","112.5",512,"2000"
"DELAWARE","177.9",665.6,"2000"
"DISTRICTOFCOLUMBIA","621.3",829.5,"2000"
"FLORIDA","199.0",1081.8,"2000"
"GEORGIA","161.9",836.6,"2000"
"HAWAII","92.7",880.3,"2000"
"IDAHO","17.2",566.5,"2000"
"ILLINOIS","207.4",659.6,"2000"
"INDIANA","103.3",676.1,"2000"
"IOWA","36.6",558.4,"2000"
"KANSAS","76.2",799.1,"2000"
"KENTUCKY","80.6",626.2,"2000"
"LOUISIANA","168.5",1035.8,"2000"
"MAINE","19.4",531.4,"2000"
"MARYLAND","256.0",744.4,"2000"
"MASSACHUSETTS","91.6",482,"2000"
"MICHIGAN","138.0",702.2,"2000"
"MINNESOTA","75.5",530.9,"2000"
"MISSISSIPPI","95.0",946.3,"2000"
"MISSOURI","135.8",745,"2000"
"MONTANA","27.6",437.4,"2000"
"NEBRASKA","67.0",592,"2000"
"NEVADA","227.3",877.1,"2000"
"NEWHAMPSHIRE","36.7",404,"2000"
"NEWJERSEY","161.1",522,"2000"
"NEWMEXICO","137.4",1173.1,"2000"
"NEWYORK","213.6",463.4,"2000"
"NORTHCAROLINA","156.5",1216.1,"2000"
"NORTHDAKOTA","8.7",325.9,"2000"
"OHIO","137.5",780.7,"2000"
"OKLAHOMA","75.8",917.5,"2000"
"OREGON","84.4",748.8,"2000"
"PENNSYLVANIA","147.8",440.4,"2000"
"PUERTORICO","229.9",552.9,"2000"
"RHODEISLAND","88.0",631.5,"2000"
"SOUTHCAROLINA","146.6",969.3,"2000"
"SOUTHDAKOTA","17.4",383.7,"2000"
"TENNESSEE","166.4",990.4,"2000"
"TEXAS","145.1",906.3,"2000"
"UTAH","55.6",642.5,"2000"
"VERMONT","19.2",575,"2000"
"VIRGINIA","88.9",429.9,"2000"
"WASHINGTON","98.6",907.3,"2000"
"WESTVIRGINIA","41.4",546.9,"2000"
"WISCONSIN","84.6",469.5,"2000"
"WYOMING","14.2",420.8,"2000"
"ALABAMA","125.1",910.4,"2001"
"ALASKA","81",605.9,"2001"
"ARIZONA","167.1",1032.9,"2001"
"ARKANSAS","81",824.5,"2001"
"CALIFORNIA","187.1",672.4,"2001"
"COLORADO","80.5",645.9,"2001"
"CONNECTICUT","122.1",501,"2001"
"DELAWARE","145.2",646.1,"2001"
"DISTRICTOFCOLUMBIA","689.6",876.3,"2001"
"FLORIDA","200.5",1073.7,"2001"
"GEORGIA","171.8",856.4,"2001"
"HAWAII","93.3",911.6,"2001"
"IDAHO","18.5",568.3,"2001"
"ILLINOIS","199.2",631.6,"2001"
"INDIANA","117.3",699.3,"2001"
"IOWA","39.5",577.6,"2001"
"KANSAS","89.9",761.3,"2001"
"KENTUCKY","80.7",651.9,"2001"
"LOUISIANA","176.1",1040.2,"2001"
"MAINE","20.5",536.1,"2001"
"MARYLAND","251.6",773.1,"2001"
"MASSACHUSETTS","101.5",508.4,"2001"
"MICHIGAN","129.5",721,"2001"
"MINNESOTA","75.6",512.8,"2001"
"MISSISSIPPI","115.3",1043.4,"2001"
"MISSOURI","138",763.4,"2001"
"MONTANA","25.4",405.8,"2001"
"NEBRASKA","65.8",569.7,"2001"
"NEVADA","234.2",840.9,"2001"
"NEWHAMPSHIRE","35.3",388.3,"2001"
"NEWJERSEY","166.3",551.7,"2001"
"NEWMEXICO","147.3",1068.9,"2001"
"NEWYORK","192.3",422.9,"2001"
"NORTHCAROLINA","162.5",1244.6,"2001"
"NORTHDAKOTA","9.5",341.2,"2001"
"OHIO","151.2",852.1,"2001"
"OKLAHOMA","79.4",999.2,"2001"
"OREGON","79.2",767.3,"2001"
"PENNSYLVANIA","142.4",442.3,"2001"
"PUERTORICO","208.3",519.1,"2001"
"RHODEISLAND","93.1",644.4,"2001"
"SOUTHCAROLINA","130.7",906.5,"2001"
"SOUTHDAKOTA","13.6",408,"2001"
"TENNESSEE","178",1040.2,"2001"
"TEXAS","165.8",958.3,"2001"
"UTAH","52.7",608.2,"2001"
"VERMONT","17.5",513.8,"2001"
"VIRGINIA","95.4",439.7,"2001"
"WASHINGTON","99.1",885.5,"2001"
"WESTVIRGINIA","39.2",532.8,"2001"
"WISCONSIN","82.3",498.5,"2001"
"WYOMING","17",501.8,"2001"
"ALABAMA","132.9",949,"2002"
"ALASKA","76",607,"2002"
"ARIZONA","146.6",1082.9,"2002"
"ARKANSAS","93.1",857.1,"2002"
"CALIFORNIA","185",679,"2002"
"COLORADO","79.4",702.9,"2002"
"CONNECTICUT","117.3",493.8,"2002"
"DELAWARE","142.9",663.3,"2002"
"DISTRICTOFCOLUMBIA","671.6",905.6,"2002"
"FLORIDA","194.9",1060.5,"2002"
"GEORGIA","156.9",863.7,"2002"
"HAWAII","97.2",1021.9,"2002"
"IDAHO","17.9",554.8,"2002"
"ILLINOIS","200.6",643.8,"2002"
"INDIANA","107.4",691.7,"2002"
"IOWA","39.8",634.8,"2002"
"KANSAS","79.7",724.6,"2002"
"KENTUCKY","74.8",680.6,"2002"
"LOUISIANA","158.9",1011.7,"2002"
"MAINE","20.9",538.1,"2002"
"MARYLAND","245.8",728.5,"2002"
"MASSACHUSETTS","111.5",517.2,"2002"
"MICHIGAN","117.9",706.1,"2002"
"MINNESOTA","78.4",558.5,"2002"
"MISSISSIPPI","116.9",1030.5,"2002"
"MISSOURI","123.8",753.1,"2002"
"MONTANA","31.1",361.6,"2002"
"NEBRASKA","78.6",597.3,"2002"
"NEVADA","235.5",871.9,"2002"
"NEWHAMPSHIRE","32.4",379.4,"2002"
"NEWJERSEY","161.9",511,"2002"
"NEWMEXICO","118.9",1058.4,"2002"
"NEWYORK","191.3",400.4,"2002"
"NORTHCAROLINA","146.7",1196.3,"2002"
"NORTHDAKOTA","9.1",353.7,"2002"
"OHIO","156.5",868.2,"2002"
"OKLAHOMA","84.9",1006.7,"2002"
"OREGON","77.9",729.7,"2002"
"PENNSYLVANIA","139.1",450.8,"2002"
"PUERTORICO","232.7",641.1,"2002"
"RHODEISLAND","85.6",599.7,"2002"
"SOUTHCAROLINA","140.6",1065.1,"2002"
"SOUTHDAKOTA","15.4",398.7,"2002"
"TENNESSEE","162.4",1056.5,"2002"
"TEXAS","172.5",976.1,"2002"
"UTAH","49.2",653,"2002"
"VERMONT","12.5",565.9,"2002"
"VIRGINIA","95.4",435.4,"2002"
"WASHINGTON","95.5",905.4,"2002"
"WESTVIRGINIA","36.5",537.1,"2002"
"WISCONSIN","86.6",513.2,"2002"
"WYOMING","18.6",490.9,"2002"
"ALABAMA","134.2",960.8,"2003"
"ALASKA","68.4",594.2,"2003"
"ARIZONA","136.5",1050.3,"2003"
"ARKANSAS","81.7",913.6,"2003"
"CALIFORNIA","179.7",682.8,"2003"
"COLORADO","82.1",711.3,"2003"
"CONNECTICUT","119",448.1,"2003"
"DELAWARE","169.9",729.8,"2003"
"DISTRICTOFCOLUMBIA","699.5",829.1,"2003"
"FLORIDA","185.2",1002.7,"2003"
"GEORGIA","161.8",909.2,"2003"
"HAWAII","92.9",907.2,"2003"
"IDAHO","17.9",570.2,"2003"
"ILLINOIS","188.2",618.7,"2003"
"INDIANA","103.3",671.1,"2003"
"IOWA","38.1",596,"2003"
"KANSAS","82.5",803.6,"2003"
"KENTUCKY","77.6",671.6,"2003"
"LOUISIANA","157.2",998.1,"2003"
"MAINE","22.1",503.9,"2003"
"MARYLAND","241.5",701.4,"2003"
"MASSACHUSETTS","124.1",539.7,"2003"
"MICHIGAN","111.7",677.2,"2003"
"MINNESOTA","77.2",547.4,"2003"
"MISSISSIPPI","104.8",1035.6,"2003"
"MISSOURI","108.7",717.1,"2003"
"MONTANA","32.5",405.6,"2003"
"NEBRASKA","66.8",579.1,"2003"
"NEVADA","230.3",980.6,"2003"
"NEWHAMPSHIRE","37.1",353.5,"2003"
"NEWJERSEY","154.7",503,"2003"
"NEWMEXICO","104",1025.2,"2003"
"NEWYORK","186.3",393.4,"2003"
"NORTHCAROLINA","145.5",1197.6,"2003"
"NORTHDAKOTA","8",306.2,"2003"
"OHIO","147.7",830.1,"2003"
"OKLAHOMA","91.8",992.3,"2003"
"OREGON","80.1",804.2,"2003"
"PENNSYLVANIA","145.4",436,"2003"
"PUERTORICO","199.5",537.8,"2003"
"RHODEISLAND","77.1",513.3,"2003"
"SOUTHCAROLINA","136.7",1050.9,"2003"
"SOUTHDAKOTA","13.6",375.9,"2003"
"TENNESSEE","160.4",1082,"2003"
"TEXAS","167.4",993.7,"2003"
"UTAH","53.4",713.1,"2003"
"VERMONT","9.7",477.8,"2003"
"VIRGINIA","90.3",391.5,"2003"
"WASHINGTON","93.3",950.3,"2003"
"WESTVIRGINIA","40.3",562.2,"2003"
"WISCONSIN","80.1",485.4,"2003"
"WYOMING","16.8",520.9,"2003"
"ALABAMA","141.4",953.8,"2005"
"ALASKA","80.9",622.5,"2005"
"ARIZONA","144.4",948.4,"2005"
"ARKANSAS","91.1",1084.6,"2005"
"CALIFORNIA","176.1",693.3,"2005"
"COLORADO","84.6",744.8,"2005"
"CONNECTICUT","113",437.1,"2005"
"DELAWARE","154.8",688.9,"2005"
"FLORIDA","169.4",926.3,"2005"
"GEORGIA","154.8",931,"2005"
"HAWAII","78.5",767.9,"2005"
"IDAHO","18.6",564.4,"2005"
"ILLINOIS","181.7",606.9,"2005"
"INDIANA","108.6",697.6,"2005"
"IOWA","38.9",606.4,"2005"
"KANSAS","65.3",689.2,"2005"
"KENTUCKY","88.4",634,"2005"
"LOUISIANA","118",870.6,"2005"
"MAINE","24.4",478.5,"2005"
"MARYLAND","256.7",641.4,"2005"
"MASSACHUSETTS","119",541.1,"2005"
"MICHIGAN","131.8",696.8,"2005"
"MINNESOTA","92",578.9,"2005"
"MISSISSIPPI","82.3",919.7,"2005"
"MISSOURI","124.1",738.3,"2005"
"MONTANA","18.9",389.2,"2005"
"NEBRASKA","59.1",532.4,"2005"
"NEVADA","194.7",972.4,"2005"
"NEWHAMPSHIRE","27.4",317,"2005"
"NEWJERSEY","151.6",447.1,"2005"
"NEWMEXICO","98.7",1093.9,"2005"
"NEWYORK","182.7",353.3,"2005"
"NORTHCAROLINA","145.5",1201.1,"2005"
"NORTHDAKOTA","7.4",311.9,"2005"
"OHIO","163.1",872.8,"2005"
"OKLAHOMA","91",1006,"2005"
"OREGON","68.1",758.6,"2005"
"PENNSYLVANIA","154.6",451.6,"2005"
"RHODEISLAND","72.1",494.2,"2005"
"SOUTHCAROLINA","132.1",1000.9,"2005"
"SOUTHDAKOTA","18.6",324.4,"2005"
"TENNESSEE","167.3",1026.9,"2005"
"TEXAS","156.6",961.6,"2005"
"UTAH","44.3",606.2,"2005"
"VERMONT","11.7",491.8,"2005"
"VIRGINIA","99.2",392.1,"2005"
"WASHINGTON","92.1",959.7,"2005"
"WESTVIRGINIA","44.6",621.2,"2005"
"WISCONSIN","82.2",440.8,"2005"
"WYOMING","15.3",476.3,"2005"
"ALABAMA","153.5",969.1,"2006"
"ALASKA","90.3",617.3,"2006"
"ARIZONA","149.6",925.3,"2006"
"ARKANSAS","98.4",1139.9,"2006"
"CALIFORNIA","194.7",676,"2006"
"COLORADO","80.7",682.1,"2006"
"CONNECTICUT","121",419.3,"2006"
"DELAWARE","203.3",725.2,"2006"
"FLORIDA","188.8",944.6,"2006"
"GEORGIA","165.6",909,"2006"
"HAWAII","88.9",677.5,"2006"
"IDAHO","20.5",513.2,"2006"
"ILLINOIS","185.3",602.1,"2006"
"INDIANA","114.7",731.3,"2006"
"IOWA","43.5",604.2,"2006"
"KANSAS","67.9",723.3,"2006"
"KENTUCKY","86.2",644.8,"2006"
"LOUISIANA","133.6",1049.2,"2006"
"MAINE","29.1",512.9,"2006"
"MARYLAND","256",667,"2006"
"MASSACHUSETTS","125",546.5,"2006"
"MICHIGAN","140.7",753.9,"2006"
"MINNESOTA","105.1",583.9,"2006"
"MISSISSIPPI","107.1",935.9,"2006"
"MISSOURI","129.9",764.1,"2006"
"MONTANA","17.4",310.7,"2006"
"NEBRASKA","63.8",534.5,"2006"
"NEVADA","281.6",994.6,"2006"
"NEWHAMPSHIRE","32.2",331.4,"2006"
"NEWJERSEY","153.1",452,"2006"
"NEWMEXICO","107.7",1069.7,"2006"
"NEWYORK","178.6",355.1,"2006"
"NORTHCAROLINA","152.2",1212.7,"2006"
"NORTHDAKOTA","11.3",376.3,"2006"
"OHIO","166.8",909.8,"2006"
"OKLAHOMA","87.5",960.5,"2006"
"OREGON","72.7",645.2,"2006"
"PENNSYLVANIA","168.6",463.2,"2006"
"RHODEISLAND","68.8",507.2,"2006"
"SOUTHCAROLINA","136.5",989.8,"2006"
"SOUTHDAKOTA","15.2",338.9,"2006"
"TENNESSEE","184.3",1040.9,"2006"
"TEXAS","158.5",917.3,"2006"
"UTAH","48.8",576.5,"2006"
"VERMONT","17.6",528.9,"2006"
"VIRGINIA","101.4",417.6,"2006"
"WASHINGTON","100.1",911.6,"2006"
"WESTVIRGINIA","46.9",634.1,"2006"
"WISCONSIN","100.2",485.8,"2006"
"WYOMING","14",450.5,"2006"
"ALABAMA","159.9",979.5,"2007"
"ALASKA","85.3",538.7,"2007"
"ARIZONA","151.7",912.2,"2007"
"ARKANSAS","106.7",1131.4,"2007"
"CALIFORNIA","193",648.4,"2007"
"COLORADO","71",591.4,"2007"
"CONNECTICUT","103",432.9,"2007"
"DELAWARE","197.3",733.3,"2007"
"FLORIDA","209.1",996.3,"2007"
"GEORGIA","181.7",950.2,"2007"
"HAWAII","86.1",708.8,"2007"
"IDAHO","15.5",465.3,"2007"
"ILLINOIS","179.7",587.6,"2007"
"INDIANA","124.1",739.4,"2007"
"IOWA","43.9",567,"2007"
"KANSAS","72.6",729.9,"2007"
"KENTUCKY","95.9",652.7,"2007"
"LOUISIANA","141.7",1038.9,"2007"
"MAINE","26.5",506.8,"2007"
"MARYLAND","236",660.2,"2007"
"MASSACHUSETTS","108.6",552.9,"2007"
"MICHIGAN","133.2",748.9,"2007"
"MINNESOTA","91.8",570.8,"2007"
"MISSISSIPPI","98.2",957.9,"2007"
"MISSOURI","121.9",739.1,"2007"
"MONTANA","19.9",316,"2007"
"NEBRASKA","62.4",509.8,"2007"
"NEVADA","270.2",968.3,"2007"
"NEWHAMPSHIRE","32.8",378.9,"2007"
"NEWJERSEY","144.5",431.5,"2007"
"NEWMEXICO","117.8",964.1,"2007"
"NEWYORK","161.1",336.1,"2007"
"NORTHCAROLINA","149.5",1200.7,"2007"
"NORTHDAKOTA","10.9",338.3,"2007"
"OHIO","159.2",859.1,"2007"
"OKLAHOMA","93.2",943.3,"2007"
"OREGON","76.4",609,"2007"
"PENNSYLVANIA","156.5",450.6,"2007"
"RHODEISLAND","71",495,"2007"
"SOUTHCAROLINA","144",1025.8,"2007"
"SOUTHDAKOTA","14.1",298.7,"2007"
"TENNESSEE","179",1002.4,"2007"
"TEXAS","162.2",955.1,"2007"
"UTAH","53.7",587.5,"2007"
"VERMONT","12.9",500,"2007"
"VIRGINIA","99.2",410.9,"2007"
"WASHINGTON","93.6",814.8,"2007"
"WESTVIRGINIA","47",596.8,"2007"
"WISCONSIN","97.7",497,"2007"
"WYOMING","16.1",449.1,"2007"
